CD_CVM,CNPJ,DENOM_SOCIAL,SIT,DT_INI_SIT,TP_ENDER,LOGRADOURO,COMPL,BAIRRO,MUN,UF,CEP
2879,61.562.112/0001-20,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.,ATIVO,1978-11-01,FILIAL MG,"R. DOS INCONFIDENTES, 911","17º ANDAR / CJS. 1701-2, 18º AND / CJ. 1801",SAVASSI,BELO HORIZONTE,MG,30140120
2879,61.562.112/0001-20,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.,ATIVO,1978-11-01,FILIAL RS,"RUA MOSTARDEIRO, 800","8 AND, parte 3",MOINHO DE VENTOS,PORTO ALEGRE,RS,90430000
2879,61.562.112/0001-20,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.,ATIVO,1978-11-01,FILIAL PR,"ALAMEDA DR. CARLOS DE CARVALHO, 417","ED. CURITIBA TRADE OFFICE BUILDING - CJS. 1001, 1002, 1104, 1701 E 1702",CENTRO,CURITIBA,PR,80410180
2879,61.562.112/0001-20,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.,ATIVO,1978-11-01,FILIAL BA,"AV. TANCREDO NEVES, 2539","22º ANDAR - SLS. 2201-2 / 2204-5 / 2207-9 / 2211-16, ED CEO SALVADOR SH",CAMINHO DAS ÁRVORES,SALVADOR,BA,41820021
2879,61.562.112/0001-20,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.,ATIVO,1978-11-01,FILIAL GO,"AV 136, 0","LT 32/36/1/5 SL. A-1005, PRU WALL STREET",COND NEW YORK SQUARE,GOIÂNIA,GO,74093250
2879,61.562.112/0001-20,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.,ATIVO,1978-11-01,FILIAL CAMPINAS,"Avenida Selma Parada, 505",(Bailarina) - conjunto1104 (parte),Jardim Madalena,CAMPINAS,SP,13091605
2879,61.562.112/0001-20,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.,ATIVO,1978-11-01,FILIAL RIBEIRÃO PRETO,"Rua Paschoal Bardaro, 1075","15º andar, sala 151",Jardim Botânico,RIBEIRÃO PRETO,SP,14021655
2879,61.562.112/0001-20,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.,ATIVO,1978-11-01,FILIAL PR 02,"AV. PEDRO TAQUES, 294",,ZONA 10,MARINGÁ,PR,87030000
2879,61.562.112/0001-20,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.,ATIVO,1978-11-01,FILIAL FLORIANÓPOLIS,"Rodovia José Carlos Daux, 4120","Sala 302, parte 1",Vargem Pequena,FLORIANÓPOLIS,SC,88052401
2879,61.562.112/0001-20,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.,ATIVO,1978-11-01,FILIAL FORTALEZA,"AV. DESEMBARGADOR MOREIRA, 1300","BS DESIGN CORPORATE TOWERS - TORRE NORTE, SL. 1513",ALDEOTA,FORTALEZA,CE,60170002
2879,61.562.112/0001-20,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.,ATIVO,1978-11-01,FILIAL RECIFE,"RUA PADRE CARAPUCEIRO, 910","21º ANDAR - ED. EMP. ACÁCIO GIL BORSOI, SALA 2101 PARTE",BOA VIAGEM,RECIFE,PE,51020280
2879,61.562.112/0001-20,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.,ATIVO,1978-11-01,FILIAL SÃO JOSÉ DOS CAMPOS,"Avenida São João, 2200","17º andar, sala 1703",Jardim das Colinas,SÃO JOSÉ DOS CAMPOS,SP,12242000
